row_num,id,name,query_used,strategy,selected_text,selected_href,selected_detail_id,status,note
19,0149-mega,メガカイリュー,メガカイリュー,exact,メガカイリュー,https://zukan.pokemon.co.jp/detail/0149-1,0149-1,downloaded_detail,detail:https://zukan.pokemon.co.jp/zukan-api/up/images/index/7ac2c4ee7c16a29575d5d87111417389.png
20,0150-megaX,メガミュウツーX,ミュウツー,drop_suffix_letter,メガミュウツーＸ,https://zukan.pokemon.co.jp/detail/0150-1,0150-1,downloaded_detail,detail:https://zukan.pokemon.co.jp/zukan-api/up/images/index/861f8c74201e09a9d47cb03c2de25e2b.png
21,0150-megaY,メガミュウツーY,ミュウツー,drop_suffix_letter,メガミュウツーＹ,https://zukan.pokemon.co.jp/detail/0150-2,0150-2,downloaded_detail,detail:https://zukan.pokemon.co.jp/zukan-api/up/images/index/61eb1cf79301b4eca461c8a1840815be.png
22,0154-mega,メガメガニウム,メガメガニウム,exact,メガメガニウム,https://zukan.pokemon.co.jp/detail/0154-1,0154-1,downloaded_detail,detail:https://zukan.pokemon.co.jp/zukan-api/up/images/index/0b5bbf52511181e112ee7f784eca88b0.png
23,0160-mega,メガオーダイル,メガオーダイル,exact,メガオーダイル,https://zukan.pokemon.co.jp/detail/0160-1,0160-1,downloaded_detail,detail:https://zukan.pokemon.co.jp/zukan-api/up/images/index/4b2a3dc9f9376eb3e0b03a59f8e07b96.png
24,0181-mega,メガデンリュウ,メガデンリュウ,exact,メガデンリュウ,https://zukan.pokemon.co.jp/detail/0181-1,0181-1,downloaded_detail,detail:https://zukan.pokemon.co.jp/zukan-api/up/images/index/dbbc775d7b5075b1365c9e9335034643.png
25,0208-mega,メガハガネール,メガハガネール,exact,メガハガネール,https://zukan.pokemon.co.jp/detail/0208-1,0208-1,downloaded_detail,detail:https://zukan.pokemon.co.jp/zukan-api/up/images/index/7dc5404a4034136f741fc225c4f39a4e.png
26,0212-mega,メガハッサム,メガハッサム,exact,メガハッサム,https://zukan.pokemon.co.jp/detail/0212-1,0212-1,downloaded_detail,detail:https://zukan.pokemon.co.jp/zukan-api/up/images/index/25b6c833048a98b78e848bb0c680ad6f.png
27,0214-mega,メガヘラクロス,メガヘラクロス,exact,メガヘラクロス,https://zukan.pokemon.co.jp/detail/0214-1,0214-1,downloaded_detail,detail:https://zukan.pokemon.co.jp/zukan-api/up/images/index/a3cbf6e7365b552f6daab39d44aa1947.png
28,0227-mega,メガエアームド,メガエアームド,exact,メガエアームド,https://zukan.pokemon.co.jp/detail/0227-1,0227-1,downloaded_detail,detail:https://zukan.pokemon.co.jp/zukan-api/up/images/index/27d481a3ed901245950b5405f037290b9f752221.png
29,0229-mega,メガヘルガー,メガヘルガー,exact,メガヘルガー,https://zukan.pokemon.co.jp/detail/0229-1,0229-1,downloaded_detail,detail:https://zukan.pokemon.co.jp/zukan-api/up/images/index/84db565ca9f9203a7db64fa3094b052a.png
30,0248-mega,メガバンギラス,メガバンギラス,exact,メガバンギラス,https://zukan.pokemon.co.jp/detail/0248-1,0248-1,downloaded_detail,detail:https://zukan.pokemon.co.jp/zukan-api/up/images/index/7ec7799a6c27bad7540af20a3e9ccd1a.png
31,0254-mega,メガジュカイン,メガジュカイン,exact,メガジュカイン,https://zukan.pokemon.co.jp/detail/0254-1,0254-1,downloaded_detail,detail:https://zukan.pokemon.co.jp/zukan-api/up/images/index/73ac2bb0cd6aba54bed054b1d98d920b.png
32,0257-mega,メガバシャーモ,メガバシャーモ,exact,メガバシャーモ,https://zukan.pokemon.co.jp/detail/0257-1,0257-1,downloaded_detail,detail:https://zukan.pokemon.co.jp/zukan-api/up/images/index/8a728877de529da7935abc66856c4bd5.png
33,0260-mega,メガラグラージ,メガラグラージ,exact,メガラグラージ,https://zukan.pokemon.co.jp/detail/0260-1,0260-1,downloaded_detail,detail:https://zukan.pokemon.co.jp/zukan-api/up/images/index/03b0636733ed7da4ea3ca45cc5aa81a0.png
34,0282-mega,メガサーナイト,メガサーナイト,exact,メガサーナイト,https://zukan.pokemon.co.jp/detail/0282-1,0282-1,downloaded_detail,detail:https://zukan.pokemon.co.jp/zukan-api/up/images/index/aa219dea943dcdb32e7c84e0fd634fbf.png
35,0302-mega,メガヤミラミ,メガヤミラミ,exact,メガヤミラミ,https://zukan.pokemon.co.jp/detail/0302-1,0302-1,downloaded_detail,detail:https://zukan.pokemon.co.jp/zukan-api/up/images/index/253583a0f2b0adae7f6e14c2de467d11.png
36,0303-mega,メガクチート,メガクチート,exact,メガクチート,https://zukan.pokemon.co.jp/detail/0303-1,0303-1,downloaded_detail,detail:https://zukan.pokemon.co.jp/zukan-api/up/images/index/461b2ef3f2161492f63fa3b811a21ceb.png
37,0306-mega,メガボスゴドラ,メガボスゴドラ,exact,メガボスゴドラ,https://zukan.pokemon.co.jp/detail/0306-1,0306-1,downloaded_detail,detail:https://zukan.pokemon.co.jp/zukan-api/up/images/index/04a85d5125ca1b3191cf2f354067ad58.png
38,0308-mega,メガチャーレム,メガチャーレム,exact,メガチャーレム,https://zukan.pokemon.co.jp/detail/0308-1,0308-1,downloaded_detail,detail:https://zukan.pokemon.co.jp/zukan-api/up/images/index/20586c3ae4c90f69161141b918456083.png
39,0310-mega,メガライボルト,メガライボルト,exact,メガライボルト,https://zukan.pokemon.co.jp/detail/0310-1,0310-1,downloaded_detail,detail:https://zukan.pokemon.co.jp/zukan-api/up/images/index/e248e1aa22e96305a750741aef902c86.png
40,0319-mega,メガサメハダー,メガサメハダー,exact,メガサメハダー,https://zukan.pokemon.co.jp/detail/0319-1,0319-1,downloaded_detail,detail:https://zukan.pokemon.co.jp/zukan-api/up/images/index/170d7f93770daf96dde1d6d0618d47ac.png
41,0323-mega,メガバクーダ,メガバクーダ,exact,メガバクーダ,https://zukan.pokemon.co.jp/detail/0323-1,0323-1,downloaded_detail,detail:https://zukan.pokemon.co.jp/zukan-api/up/images/index/2dbf0c1e71e074824fab27a3590c3412.png
42,0334-mega,メガチルタリス,メガチルタリス,exact,メガチルタリス,https://zukan.pokemon.co.jp/detail/0334-1,0334-1,downloaded_detail,detail:https://zukan.pokemon.co.jp/zukan-api/up/images/index/b1bffc9c9d3be56eca2208436f545a50.png
43,0354-mega,メガジュペッタ,メガジュペッタ,exact,メガジュペッタ,https://zukan.pokemon.co.jp/detail/0354-1,0354-1,downloaded_detail,detail:https://zukan.pokemon.co.jp/zukan-api/up/images/index/29345d9875b508e3a36f9a1bf1945a4d.png
44,0358-mega,メガチリーン,メガチリーン,exact,メガチリーン,https://zukan.pokemon.co.jp/detail/0358-1,0358-1,downloaded_detail,detail:https://zukan.pokemon.co.jp/zukan-api/up/images/index/e89be39d6dfc089bbc8bba053c6a37f9.png
45,0359-mega,メガアブソル,メガアブソル,exact,メガアブソル,https://zukan.pokemon.co.jp/detail/0359-1,0359-1,downloaded_detail,detail:https://zukan.pokemon.co.jp/zukan-api/up/images/index/3482c4f7cf91e602ba5978e602430b83.png
46,0359-megaZ,メガアブソルZ,アブソル,drop_suffix_letter,メガアブソルＺ,https://zukan.pokemon.co.jp/detail/0359-2,0359-2,downloaded_detail,detail:https://zukan.pokemon.co.jp/zukan-api/up/images/index/73879bd77b9d6dd6a9bda9ce2813b82e.png
47,0362-mega,メガオニゴーリ,メガオニゴーリ,exact,メガオニゴーリ,https://zukan.pokemon.co.jp/detail/0362-1,0362-1,downloaded_detail,detail:https://zukan.pokemon.co.jp/zukan-api/up/images/index/f28d8ba6d4ad7da28ecaeedb4b259ff2.png
48,0373-mega,メガボーマンダ,メガボーマンダ,exact,メガボーマンダ,https://zukan.pokemon.co.jp/detail/0373-1,0373-1,downloaded_detail,detail:https://zukan.pokemon.co.jp/zukan-api/up/images/index/35f900982c810e53ba3f28501f8382d8.png
49,0376-mega,メガメタグロス,メガメタグロス,exact,メガメタグロス,https://zukan.pokemon.co.jp/detail/0376-1,0376-1,downloaded_detail,detail:https://zukan.pokemon.co.jp/zukan-api/up/images/index/8bfc27b0a27ad18852e454a2aea89c5f.png
50,0380-mega,メガラティアス,メガラティアス,exact,メガラティアス,https://zukan.pokemon.co.jp/detail/0380-1,0380-1,downloaded_detail,detail:https://zukan.pokemon.co.jp/zukan-api/up/images/index/d0c9d4d6f9e1cfa2f6de5162ce2fa89b.png
51,0381-mega,メガラティオス,メガラティオス,exact,メガラティオス,https://zukan.pokemon.co.jp/detail/0381-1,0381-1,downloaded_detail,detail:https://zukan.pokemon.co.jp/zukan-api/up/images/index/5ad8f0589cfd276d1ac0a870fec40423.png
52,0384-mega,メガレックウザ,メガレックウザ,exact,メガレックウザ,https://zukan.pokemon.co.jp/detail/0384-1,0384-1,downloaded_detail,detail:https://zukan.pokemon.co.jp/zukan-api/up/images/index/8ac25cd367875f2ddafc63bd9e0081c4.png
53,0398-mega,メガムクホーク,メガムクホーク,exact,メガムクホーク,https://zukan.pokemon.co.jp/detail/0398-1,0398-1,downloaded_detail,detail:https://zukan.pokemon.co.jp/zukan-api/up/images/index/83663a28400ff1cd7bdebf221262b103.png
54,0428-mega,メガミミロップ,メガミミロップ,exact,メガミミロップ,https://zukan.pokemon.co.jp/detail/0428-1,0428-1,downloaded_detail,detail:https://zukan.pokemon.co.jp/zukan-api/up/images/index/fb2f640144a7d8434f930799d98e5e11.png
55,0445-mega,メガガブリアス,メガガブリアス,exact,メガガブリアス,https://zukan.pokemon.co.jp/detail/0445-1,0445-1,downloaded_detail,detail:https://zukan.pokemon.co.jp/zukan-api/up/images/index/6ac45bc97779f00ed3e9ce5df435cf40.png
56,0445-megaZ,メガガブリアスZ,ガブリアス,drop_suffix_letter,メガガブリアスＺ,https://zukan.pokemon.co.jp/detail/0445-2,0445-2,downloaded_detail,detail:https://zukan.pokemon.co.jp/zukan-api/up/images/index/4f6bd54dafaef1dd0e132ba15e575744d32466cd.png
57,0448-mega,メガルカリオ,メガルカリオ,exact,メガルカリオ,https://zukan.pokemon.co.jp/detail/0448-1,0448-1,downloaded_detail,detail:https://zukan.pokemon.co.jp/zukan-api/up/images/index/4e646ee4f6ad9d9ea4b4022f74d63805.png
58,0448-megaZ,メガルカリオZ,ルカリオ,drop_suffix_letter,メガルカリオＺ,https://zukan.pokemon.co.jp/detail/0448-2,0448-2,downloaded_detail,detail:https://zukan.pokemon.co.jp/zukan-api/up/images/index/9910f2b09a49b21d30d06226f653b099.png
59,0460-mega,メガユキノオー,メガユキノオー,exact,メガユキノオー,https://zukan.pokemon.co.jp/detail/0460-1,0460-1,downloaded_detail,detail:https://zukan.pokemon.co.jp/zukan-api/up/images/index/67128086bca72bc4815c3d5319bbdd92.png
60,0475-mega,メガエルレイド,メガエルレイド,exact,メガエルレイド,https://zukan.pokemon.co.jp/detail/0475-1,0475-1,downloaded_detail,detail:https://zukan.pokemon.co.jp/zukan-api/up/images/index/00b6af55f415a9f4ca381cde2a9b4a1b.png
61,0478-mega,メガユキメノコ,メガユキメノコ,exact,メガユキメノコ,https://zukan.pokemon.co.jp/detail/0478-1,0478-1,downloaded_detail,detail:https://zukan.pokemon.co.jp/zukan-api/up/images/index/dcf3b847c9c7228023b8f67831de427c.png
62,0485-mega,メガヒードラン,メガヒードラン,exact,メガヒードラン,https://zukan.pokemon.co.jp/detail/0485-1,0485-1,downloaded_detail,detail:https://zukan.pokemon.co.jp/zukan-api/up/images/index/ee3cb3b2ffbdd800242410a084b9e024.png
63,0491-mega,メガダークライ,メガダークライ,exact,メガダークライ,https://zukan.pokemon.co.jp/detail/0491-1,0491-1,downloaded_detail,detail:https://zukan.pokemon.co.jp/zukan-api/up/images/index/cc67156f4b34d1056af7c4a7f532490b.png
64,0500-mega,メガエンブオー,メガエンブオー,exact,メガエンブオー,https://zukan.pokemon.co.jp/detail/0500-1,0500-1,downloaded_detail,detail:https://zukan.pokemon.co.jp/zukan-api/up/images/index/ad72172d32f83e64eb53849c20907630.png
65,0530-mega,メガドリュウズ,メガドリュウズ,exact,メガドリュウズ,https://zukan.pokemon.co.jp/detail/0530-1,0530-1,downloaded_detail,detail:https://zukan.pokemon.co.jp/zukan-api/up/images/index/9d1ce59db42044428645f23cceb36a78.png
66,0531-mega,メガタブンネ,メガタブンネ,exact,メガタブンネ,https://zukan.pokemon.co.jp/detail/0531-1,0531-1,downloaded_detail,detail:https://zukan.pokemon.co.jp/zukan-api/up/images/index/cd85131809d952c5c231dba668db9ada.png
67,0545-mega,メガペンドラー,メガペンドラー,exact,メガペンドラー,https://zukan.pokemon.co.jp/detail/0545-1,0545-1,downloaded_detail,detail:https://zukan.pokemon.co.jp/zukan-api/up/images/index/54e0de63cf2c73049431dd107116f2b0.png
68,0560-mega,メガズルズキン,メガズルズキン,exact,メガズルズキン,https://zukan.pokemon.co.jp/detail/0560-1,0560-1,downloaded_detail,detail:https://zukan.pokemon.co.jp/zukan-api/up/images/index/3d30c23c6e5d1192a14ac6675ee887e4.png
69,0604-mega,メガシビルドン,メガシビルドン,exact,メガシビルドン,https://zukan.pokemon.co.jp/detail/0604-1,0604-1,downloaded_detail,detail:https://zukan.pokemon.co.jp/zukan-api/up/images/index/e9ca889e3c63e29ee6dca19f7d119a94.png
70,0609-mega,メガシャンデラ,メガシャンデラ,exact,メガシャンデラ,https://zukan.pokemon.co.jp/detail/0609-1,0609-1,downloaded_detail,detail:https://zukan.pokemon.co.jp/zukan-api/up/images/index/82589ddd3c007e734696be3d00c1770c.png
71,0623-mega,メガゴルーグ,メガゴルーグ,exact,メガゴルーグ,https://zukan.pokemon.co.jp/detail/0623-1,0623-1,downloaded_detail,detail:https://zukan.pokemon.co.jp/zukan-api/up/images/index/98bc9405d537aa2a36888ba696f1c067.png
72,0652-mega,メガブリガロン,メガブリガロン,exact,メガブリガロン,https://zukan.pokemon.co.jp/detail/0652-1,0652-1,downloaded_detail,detail:https://zukan.pokemon.co.jp/zukan-api/up/images/index/129943b483a66f38aa4c7feff75fcfff.png
73,0655-mega,メガマフォクシー,メガマフォクシー,exact,メガマフォクシー,https://zukan.pokemon.co.jp/detail/0655-1,0655-1,downloaded_detail,detail:https://zukan.pokemon.co.jp/zukan-api/up/images/index/6984f9519136cbee409894a2bb07ce8f.png
74,0658-mega,メガゲッコウガ,メガゲッコウガ,exact,メガゲッコウガ,https://zukan.pokemon.co.jp/detail/0658-1,0658-1,downloaded_detail,detail:https://zukan.pokemon.co.jp/zukan-api/up/images/index/69b9a6d2172c3fec662df884d0cbe8ec.png
75,0668-mega,メガカエンジシ,メガカエンジシ,exact,メガカエンジシ,https://zukan.pokemon.co.jp/detail/0668-2,0668-2,downloaded_detail,detail:https://zukan.pokemon.co.jp/zukan-api/up/images/index/4063e25b72c994521e462585fa7d84aa.png
76,0670-mega,メガフラエッテ,メガフラエッテ,exact,メガフラエッテ,https://zukan.pokemon.co.jp/detail/0670-2,0670-2,downloaded_detail,detail:https://zukan.pokemon.co.jp/zukan-api/up/images/index/0b56a187859e2141abd290784be1db5c.png
77,0678-mega,メガニャオニクス,メガニャオニクス,exact,メガニャオニクス,https://zukan.pokemon.co.jp/detail/0678-2,0678-2,downloaded_detail,detail:https://zukan.pokemon.co.jp/zukan-api/up/images/index/39dee3242bc172993358fc2f7fe1d138.png
78,0687-mega,メガカラマネロ,メガカラマネロ,exact,メガカラマネロ,https://zukan.pokemon.co.jp/detail/0687-1,0687-1,downloaded_detail,detail:https://zukan.pokemon.co.jp/zukan-api/up/images/index/3aa98e7cdd5406d9dd8fadd15f72c421.png
79,0689-mega,メガガメノデス,メガガメノデス,exact,メガガメノデス,https://zukan.pokemon.co.jp/detail/0689-1,0689-1,downloaded_detail,detail:https://zukan.pokemon.co.jp/zukan-api/up/images/index/c9916a96439d51ede8bfe8e4221b7fa1.png
80,0691-mega,メガドラミドロ,メガドラミドロ,exact,メガドラミドロ,https://zukan.pokemon.co.jp/detail/0691-1,0691-1,downloaded_detail,detail:https://zukan.pokemon.co.jp/zukan-api/up/images/index/c24357eca2a9ed80d2ed3e86161e0852.png
81,0701-mega,メガルチャブル,メガルチャブル,exact,メガルチャブル,https://zukan.pokemon.co.jp/detail/0701-1,0701-1,downloaded_detail,detail:https://zukan.pokemon.co.jp/zukan-api/up/images/index/5a4ff483bfecdfe7b1248bc8f750c35b.png
82,0718-mega,メガジガルデ,メガジガルデ,exact,メガジガルデ,https://zukan.pokemon.co.jp/detail/0718-3,0718-3,downloaded_detail,detail:https://zukan.pokemon.co.jp/zukan-api/up/images/index/89a6ac8ab89049ba8589649d2d399ecb.png
83,0719-mega,メガディアンシー,メガディアンシー,exact,メガディアンシー,https://zukan.pokemon.co.jp/detail/0719-1,0719-1,downloaded_detail,detail:https://zukan.pokemon.co.jp/zukan-api/up/images/index/d5bb9c82e8ddc239efe5fc7dd49404f8.png
84,0740-mega,メガケケンカニ,メガケケンカニ,exact,メガケケンカニ,https://zukan.pokemon.co.jp/detail/0740-1,0740-1,downloaded_detail,detail:https://zukan.pokemon.co.jp/zukan-api/up/images/index/66f2bff007f9c14fa702787a7c685c05.png
85,0768-mega,メガグソクムシャ,メガグソクムシャ,exact,メガグソクムシャ,https://zukan.pokemon.co.jp/detail/0768-1,0768-1,downloaded_detail,detail:https://zukan.pokemon.co.jp/zukan-api/up/images/index/d8004621e5190e98bac49a53f906be8b.png
86,0780-mega,メガジジーロン,メガジジーロン,exact,メガジジーロン,https://zukan.pokemon.co.jp/detail/0780-1,0780-1,downloaded_detail,detail:https://zukan.pokemon.co.jp/zukan-api/up/images/index/5bc489c7a92f174f1883b04968b94a4c.png
87,0801-mega,メガマギアナ,メガマギアナ,exact,メガマギアナ,https://zukan.pokemon.co.jp/detail/0801-2,0801-2,downloaded_detail,detail:https://zukan.pokemon.co.jp/zukan-api/up/images/index/7ba49946b4f3fa91b60812cfbc812fa5.png
88,0807-mega,メガゼラオラ,メガゼラオラ,exact,メガゼラオラ,https://zukan.pokemon.co.jp/detail/0807-1,0807-1,downloaded_detail,detail:https://zukan.pokemon.co.jp/zukan-api/up/images/index/a6bcfa5e0727ee0b6c057b4220bd54b6.png
89,0870-mega,メガタイレーツ,メガタイレーツ,exact,メガタイレーツ,https://zukan.pokemon.co.jp/detail/0870-1,0870-1,downloaded_detail,detail:https://zukan.pokemon.co.jp/zukan-api/up/images/index/65167b8071ed723d2b0eb62dc8cb983b.png
90,0952-mega,メガスコヴィラン,メガスコヴィラン,exact,メガスコヴィラン,https://zukan.pokemon.co.jp/detail/0952-1,0952-1,downloaded_detail,detail:https://zukan.pokemon.co.jp/zukan-api/up/images/index/9e1405829b309d320a4e524eb452996c.png
91,0970-mega,メガキラフロル,メガキラフロル,exact,メガキラフロル,https://zukan.pokemon.co.jp/detail/0970-1,0970-1,downloaded_detail,detail:https://zukan.pokemon.co.jp/zukan-api/up/images/index/70bb0c3856661711f48bfc0b436a0adb.png
92,0978-mega,メガシャリタツ そったすがた,シャリタツ,base_species,メガシャリタツ（そったすがた）,https://zukan.pokemon.co.jp/detail/0978-3,0978-3,downloaded_detail,detail:https://zukan.pokemon.co.jp/zukan-api/up/images/index/0a9f6d4f4e30c1c14bdf6c7adca7f84656098aef.png
93,0998-mega,メガセグレイブ,メガセグレイブ,exact,メガセグレイブ,https://zukan.pokemon.co.jp/detail/0998-1,0998-1,downloaded_detail,detail:https://zukan.pokemon.co.jp/zukan-api/up/images/index/451fcf6370a8db0409c9eda33db05b4e.png
